# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_ENX	s_ENX	d_P	s_P	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_P	r_CG	r12	r32	T	V_H	V_BW	Con	X2
31	1e-07	5.094217331176522	307.13289927604916	16.95537263142423	3.570138979587618	1.984100798711251	2.7885432034893807	2.7626268342952627	0.7798119545252136	2.1104464896118786	30.89501965344021	0.03402373383906924	2.7719671940034947	9.52402522357989	2.8	2.834526874018878	0.15081858664114003	0.5887822912915585	0.7305807073511096	2.022189626226925	50.0	230.0399456549147	30.267707832694025	0.001823229293390305	20.148860740028194
32	1e-07	4.604443806590929	343.59785468535165	20.65427503619003	3.709626934253082	2.831420339101666	3.9366328169327858	3.0903959238218297	0.9129315761246222	2.3184865822868392	30.94352628592457	0.03192166742834312	2.6035658881238364	9.456756475172595	2.8	2.565816310589079	0.14328328673701685	0.4860321468319316	0.7683137374483652	1.9111905449302506	50.0	241.10675168523787	30.41984710247313	0.0017660667019259737	19.935826191733703
33	1e-07	5.3432181639979035	335.3392260035098	37.20397462173181	3.0473063429413676	2.784748799642919	2.8637048472551583	2.988526410533204	0.8364945773695553	2.8254385448497374	31.030967103678847	0.034763611836969084	2.7652145899832727	9.67393843335067	2.8	3.0067735563114755	0.1618073711047938	0.5412577304673896	0.7874440202933345	1.8868146178096719	50.0	246.86382173768027	30.282756592646564	0.001867243626182137	20.421543494949624
34	1e-07	4.807794018301691	341.4943745847103	24.325785934539873	3.33588752261619	3.1659186773235137	2.87497764350469	2.633776124699083	0.8218521846575956	1.9885573166429036	30.395368486407094	0.03755570384163813	2.5869822306527137	9.64797672522294	2.8	2.848552627721531	0.15310438028194903	0.6088970266530735	0.831263932075401	2.0094076100904927	50.0	247.28981256351378	30.13553021414315	0.0017526934889961457	21.300021597913123
35	1e-07	5.13684010350771	327.94713980736486	25.02137363236842	3.3113178114234136	3.6719508727950982	2.9361362968694382	3.0707585624055556	0.8060471609902059	2.5973337597166246	31.269880178143023	0.0329673473662598	2.737220415701648	9.529454821282702	2.8	2.77279363938565	0.11239058724025439	0.5615676838895008	0.8389778594628978	1.9537313078197696	50.0	243.19230753252728	30.486377631377408	0.001771387697803075	19.318077144002462
36	1e-07	5.488998386104613	341.86386532179847	30.07622238680611	3.385957513983919	1.3556762493932029	3.154595133874282	2.8773360321973858	0.8013905375982404	1.9451821348693263	30.270250900926392	0.03530156321522541	2.7021715177941137	9.18720457667984	2.8	2.674517612666504	0.15735329338402862	0.5874106616839019	0.8195779277279993	1.9086117376376945	50.0	259.0755090161	30.153676199131834	0.002057308839947867	20.157388712767602
37	1e-07	4.322238834861311	346.66367354819255	21.473444075588347	3.4424327045243244	3.5176036582583574	2.7310042677837614	2.7828454675560144	0.9145205526056932	2.62804845940995	31.18073545918697	0.032416062598610094	2.467282237852555	9.5723253434951	2.8	2.99354882008919	0.1477075737559604	0.5519917349439033	0.7571671329042314	2.004938295457742	50.0	238.90888366573182	30.293419597806622	0.0017904405577762405	18.162044850759116
38	1e-07	5.532953280432898	325.96362506075957	18.825921473481095	3.4579172118121564	3.7453998989743957	3.365895839568613	2.5932827608015705	0.7860617404798178	2.2548273728130317	30.183586512095165	0.03478440671600311	2.3638994972078726	9.552590777369236	2.8	2.8136943492850373	0.14530117045945354	0.5816560352195292	0.7951239644904444	1.942100880688947	50.0	250.97605367434824	30.202773485964418	0.0017405950658965252	18.503843529741786
39	1e-07	5.253975535141386	336.0540997546728	38.62849588926363	3.7413054115273447	2.1680098719158907	2.7064697148790144	3.068781288817859	0.8685218658467261	2.6487533038397557	31.479666262480546	0.034055135874504504	2.9413348365301695	9.855377324947105	2.8	2.8900603351077643	0.13193046799817226	0.5481725605758015	0.9094683017262856	1.9623003318866952	50.0	250.5376952928418	30.356554393811443	0.00177662917744186	21.600030915893694
40	1e-07	4.482687023936031	345.5102747609208	17.457584585036603	3.5499186553896904	3.5139837085675705	3.328476343808363	2.834328367505126	1.0228765082208797	2.636173571222222	30.35875269883367	0.032786059729220496	2.807464298027245	9.408181950861785	2.8	2.674482240044551	0.1455357451710758	0.54677942171189	0.789673974548257	1.9976279640240027	50.0	239.705329330084	30.261287930154488	0.002066518796042855	18.737652808027075
41	1e-07	4.802366730751341	344.2711150373149	37.232566446769994	3.3795128696285652	3.275178241197337	2.726654734330846	2.539818850170819	0.95713953545957	2.008774432008277	30.297478014688664	0.0345991369083316	2.6201989985127354	9.332205906538706	2.8	2.768838273707855	0.14498944498229802	0.6187540827556863	0.7515204878335079	1.9532027034289074	50.0	246.49485801978003	30.153987270594925	0.0016323072236725385	20.76405020211659
42	1e-07	5.69422524866251	305.4342253792117	14.751053289400508	3.1902503577618906	3.803758582691139	3.317855677344353	2.7046839329345236	0.8916885961072223	1.804674177076887	30.243357290385813	0.03190304220723393	2.627427880133741	9.365307671707958	2.8	2.944003303046036	0.14120506974600833	0.5814579501276639	0.6516563818392918	1.8946297822274631	50.0	238.63459573384654	30.25663042012739	0.0017794611085479935	17.982658128536013
43	1e-07	6.443080221175431	294.2096638612047	12.316661695740097	3.560210351467871	2.504207571259588	3.2826234263418	2.721541530176056	1.0600474568375993	2.245164769639352	30.32538582455306	0.03483812561043626	2.597319056582485	9.763031173289436	2.8	3.0248791762488136	0.13989252990848783	0.5696155262151894	0.6891138740974526	2.030397006436213	50.0	253.891178715476	30.20813468408158	0.0019688629815827617	20.923111596507045
44	1e-07	5.138019758879481	335.07475295486074	23.779018672257344	3.1921590846938246	2.9785708316990243	3.6466560823277714	2.594658702392186	0.983925578662813	1.6366658954157924	30.106382281491822	0.03350432226942617	2.86950874075286	9.552885718005179	2.8	2.8456016773464037	0.15751496535491097	0.5566519682824618	0.8444509834920328	2.0007331560476236	50.0	250.06023346842161	30.198024468471324	0.001738047217331515	18.444319887192655
45	1e-07	5.408616557312035	313.3695730712815	21.317370561196256	3.385339457597113	3.071206135355302	3.015301313182567	3.0035853266870562	0.8628447478173042	2.0831942548860307	31.2117139925433	0.03251402413403146	2.579987421505001	9.522340876531786	2.8	2.593246460476677	0.1286756920821211	0.5595641786419712	0.7935430105165154	1.9875084881725538	50.0	244.12736322124587	30.336416400037997	0.0018604857856039	19.223047798050217
46	1e-07	4.600676152279989	353.3626054938084	27.953697540585225	3.409585164499345	4.073023348237414	2.9256083917183644	2.776126637430293	0.7941667135076316	2.2128185771967375	31.110912187306926	0.035635469707066894	2.9574384696203286	9.117482932032	2.8	3.0307693938362066	0.13060149048828565	0.5843600209357642	0.7931433360381805	2.0459849719488243	50.0	253.38083067911967	30.230325155664836	0.0018923267841170445	19.295591664701174
47	1e-07	4.972906902132704	330.181821921613	20.93000364705284	3.518315740289705	3.36065506447485	2.8896087785690066	3.0827519024806542	0.9234699123324794	1.8000466888359588	31.114248230239376	0.03530055960276873	2.7308018161638103	9.599402169546977	2.8	2.509892798859539	0.14660575948072763	0.5528427153589768	0.737816896522053	1.9007964910067807	50.0	243.208372906689	30.27403728660027	0.0017908909202284055	20.41852396651054
48	1e-07	4.366358596425382	351.23994903516694	12.638273322923775	3.2570865385961874	2.207396612984512	3.3733943429892	3.1957548270492606	0.8853254233038264	2.504357226492039	30.553440780105305	0.03242433426084371	2.4523677602516276	9.592650857178802	2.8	2.5179634007908325	0.12617844534678777	0.5379114175229266	0.7910628783314057	1.846360355441608	50.0	236.37859855504678	30.42684107354985	0.0018790365892417179	19.521586127602216
49	1e-07	5.384670267010488	322.43355769055984	25.13879064745043	3.57074326574764	3.310087237885342	3.412649050481087	2.4875940577913407	0.8730272472823458	1.740259562664683	30.28855265470996	0.034351714193262155	2.622161853801579	9.408853719663231	2.8	2.7465273582036303	0.14295551923168137	0.5818210372698414	0.8789494743017789	2.0466779550611807	50.0	249.41047042352085	30.203345777992855	0.0017882749492894173	18.718908732337162
50	1e-07	5.657217469200002	317.9817495789748	18.730271042638854	3.344289013743748	3.305592260103825	3.0860084503840524	2.7799345838059812	0.7839279597382697	2.0637693562517825	30.879118000331832	0.033155205013470385	2.7011434343956346	9.48253607289014	2.8	2.746425273036353	0.14861780950657955	0.5708162260714349	0.809791987344486	1.9563444323248071	50.0	251.28332563101213	30.217706256938875	0.0018918751670352937	17.99958734631336
51	1e-07	6.17714933275312	327.2354153325348	19.285159035661966	3.3215809435556207	3.4715811923965347	2.8340997867960738	2.791961654431686	0.8997603327799948	2.253173829811103	30.480677217548703	0.034968527634991226	2.539770196227231	9.287114806885057	2.8	2.6175743493819157	0.14722058930866228	0.5922762556362452	0.7275111833675298	1.8404910794643539	50.0	263.8485749855476	30.140322098092764	0.0017763200417654325	18.842711084339555
52	1e-07	5.091686832515945	321.0982754874828	12.320201415993319	3.675883275815146	3.7884928175052313	3.1861032820645137	2.087337741737662	0.9089993429078868	2.0244853769818945	30.014265020076312	0.03691450495753632	2.3511787954579564	9.744504862464408	2.8	2.9987604928465545	0.13416913505164402	0.6192183875704107	0.8281090555163164	2.133402554190624	50.0	248.58237717361487	30.17866827130377	0.001667003084289244	21.051456911589483
