# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Pearson correlation coefficient matrix,
# see scipy.stats.pearsonr() docs for details.
# -----------------------------------
	nv	Rv	Z	d_ENX	s_ENX	d_P	s_P	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH3	r_P	r_CG	r12	r32	V_H	V_BW	Con
r_D_C	0.1382053603015062	-0.09483203285095629	0.029071088256176797	0.10232240044038554	0.027103931228891848	0.018898938592342776	-0.11478697718579887	0.07249345727084253	-0.1414955224327012	-0.14186240692534136	1.0	-0.23994838266061508	-0.004015583663659089	-0.046006804293776966	-0.03582361317512328	0.18275918043575196	0.10437230302284056	0.1215979783891882	0.18516359618003925	-0.22145019159487328	0.021143929702447824
s_CH2	-0.03074356693251143	0.09244730822126826	0.058111985890791654	-0.15397015681455373	-0.05978920928221981	-0.05391334478351511	0.023348883693634442	-0.23089757545503642	0.06931684753413248	0.1750117651461418	-0.23994838266061508	0.9999999999999999	0.04632834332854317	0.04322164588912914	0.005918419179991967	-0.06144829782861441	0.11575545609756269	-0.03504853530120712	0.09315144788934471	0.04772392416797315	0.07731832959571577
d_CH	-0.07836836243558797	0.04481940901388071	0.05362614888169577	0.05585600467703982	-0.12002523504012698	-0.1605844145129744	-0.010293649631875202	0.0034523424458053203	0.20476333994174453	0.13652377785911474	-0.004015583663659089	0.04632834332854317	1.0	-0.05778341624719495	0.06236094577580578	-0.06144926998065911	0.11756896608021733	0.02537112795806877	-0.03832531781205849	0.06980776109563597	-0.08327980295169735
s_CH3	0.04887131099977271	-0.021611727111550322	0.044038448892904376	0.06641979914458455	-0.06413199297417405	0.11871986380376538	-0.10008552322107393	0.102845168107445	0.11198727489883477	-0.03930759813112779	-0.046006804293776966	0.04322164588912914	-0.05778341624719495	1.0	0.006715939413062269	-0.03709283698759079	-0.029114645043186463	0.3891195553773748	0.12861188555568942	-0.0006591755834793114	0.06216327608589549
r_P	-0.018918724585524356	0.029757824872769772	0.06840193184503915	-0.08309261520236824	-0.08290709473473837	-0.0449374754315986	-0.24821389154815732	0.09203000142405618	-0.060604902011844874	-0.19222749298183645	-0.03582361317512328	0.005918419179991967	0.06236094577580578	0.006715939413062269	0.9999999999999998	0.06366582831178035	-0.025366399317551205	0.05942237659209071	0.002691512643786923	-0.5624521011466979	-0.07498549634634466
r_CG	0.21104132250991808	-0.09616461831903325	-0.1599787826439824	0.015459113408087477	0.10190422303902608	-0.11638122852160182	-0.6543815517848935	-0.19674114168905354	-0.12634006292029584	-0.6758632436020808	0.18275918043575196	-0.06144829782861441	-0.06144926998065911	-0.03709283698759079	0.06366582831178035	1.0	-0.05697200154058693	-0.01862208845571639	0.13690315518409785	-0.7338159104477575	-0.2525163084496995
r12	-0.15413544878869034	0.21551110374537513	0.17207564651674737	0.17949597883213553	-0.06070372124443729	0.015603527572978643	-0.056978408595331625	-0.07361790233013693	0.19584134454421093	0.048765555846479486	0.10437230302284056	0.11575545609756269	0.11756896608021733	-0.029114645043186463	-0.025366399317551205	-0.05697200154058693	0.9999999999999997	0.2912520276068601	0.15753274340115508	0.029798519506194134	-0.11172225606650162
r32	-0.33590152343412516	-0.06524754307512219	-0.03408148756065143	0.14694740913468896	0.09382885257751353	0.18921345066690706	-0.4373243758415056	0.11151431489303865	-0.3127830781119727	0.09943565863973415	0.1215979783891882	-0.03504853530120712	0.02537112795806877	0.3891195553773748	0.05942237659209071	-0.01862208845571639	0.2912520276068601	0.9999999999999999	-0.16261193038257143	-0.14535823732521802	-0.25043869545915276
V_H	0.44856290188734377	0.08212231646598195	-0.06328594100409556	0.05362515273048124	0.06177157984591092	-0.03273022865974409	-0.01830665711158325	-0.042324034995334874	0.10289872060253327	-0.07336016372460429	0.18516359618003925	0.09315144788934471	-0.03832531781205849	0.12861188555568942	0.002691512643786923	0.13690315518409785	0.15753274340115508	-0.16261193038257143	1.0	-0.3065690705826866	0.13083912967272784
V_BW	-0.1379147594466099	-0.007546010867369765	0.0770148738884791	0.003482217477325583	-0.19008230894563566	0.004743726784773458	0.6755513303410517	0.019043436064131815	0.25210065348438726	0.5973678494045833	-0.22145019159487328	0.04772392416797315	0.06980776109563597	-0.0006591755834793114	-0.5624521011466979	-0.7338159104477575	0.029798519506194134	-0.14535823732521802	-0.3065690705826866	1.0	0.18823109388881637
Con	0.18033024129110858	-0.0169646259873584	-0.05997945661302026	-0.1114535506225258	-0.3740878990494514	0.05482079080126967	0.5270798498826482	0.01412951137379645	0.1307938601690198	0.07342572690426774	0.021143929702447824	0.07731832959571577	-0.08327980295169735	0.06216327608589549	-0.07498549634634466	-0.2525163084496995	-0.11172225606650162	-0.25043869545915276	0.13083912967272784	0.18823109388881637	1.0
