# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Probabilities of finding a quasimolecular group at a position z (Angstrom) (distance from the bilayer center).
# SLD column: SLD contrast (difference from suspension medium) as a function of z; unit Angstrom^-2.
# -----------------------------------
z	CH3	CH	CH2	CG	P	ENX	BW	SLD
4.5455072618992896	0.13912249888096265	0.02192455487371895	0.8389270512117551	4.94783634784442e-07	3.607787936800977e-08	3.968103224156081e-08	2.5324490981784224e-05	-1.7527936848062423e-06
4.64651853438594	0.13126842582341874	0.02334435699954293	0.8453567494620945	6.268536664970737e-07	4.408341475742956e-08	4.688960824446286e-08	2.974988822777155e-05	-1.724489390449724e-06
4.747529806872592	0.12369966493903144	0.02482377578860552	0.8514407613539375	7.925334902377396e-07	5.3791148354838204e-08	5.5356087677667585e-08	3.48962376790856e-05	-1.6971201394890772e-06
4.848541079359243	0.11641852913257267	0.026362619191872844	0.8571768496161017	9.999302006403438e-07	6.554623719745807e-08	6.529039767707255e-08	4.087129260159246e-05	-1.6706938848401857e-06
4.9495523518458935	0.10942612778428526	0.027960444099956735	0.8625642152378898	1.2589902209329253e-06	7.976017098769373e-08	7.693578338474816e-08	4.779719168055889e-05	-1.6452145994199986e-06
5.050563624332544	0.10272243206805068	0.02961654316181001	0.8676034432985841	1.5818876566814257e-06	9.692275471929844e-08	9.057379977778423e-08	5.5812087333986506e-05	-1.6206825080888803e-06
5.151574896819195	0.09630634342949289	0.031329932565370866	0.8722964444609782	1.983487770108104e-06	1.1761610239155964e-07	1.0653000229049916e-07	6.507191027463323e-05	-1.5970943290800298e-06
5.252586169305846	0.09017576452621338	0.03309934093655973	0.8766463926535141	2.481898553535432e-06	1.4253094991841918e-07	1.25180426251592e-07	7.575227377485713e-05	-1.574443522294933e-06
5.3535974417924965	0.0843276719533492	0.034923199511922985	0.8806576594451894	3.0991252900028674e-06	1.7248563716492897e-07	1.4695895556961744e-07	8.805051964721228e-05	-1.5527205419078525e-06
5.454608714279148	0.07875819010404585	0.03679963373738266	0.8843357455934187	3.861845111351974e-06	2.084481556079205e-07	1.7236569254388067e-07	0.00010218790618386346	-1.5319130908056185e-06
5.555619986765799	0.07346266554561563	0.03872645644092117	0.8876872102182074	4.80232090901167e-06	2.515617097997075e-07	2.019764532316031e-07	0.00011841193617243237	-1.5120063744894374e-06
5.65663125925245	0.06843574132745518	0.040701162720560846	0.8907195980270346	5.959476527639619e-06	3.0317429799466857e-07	2.3645352654666515e-07	0.000136998820583162	-1.4929833521807167e-06
