# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:03:55 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-example
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	500
target-X2:	1
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
35	1e-07	1.0937098251827377	426.5318937879806	8.868958799640161	4.364876393178497	2.901838793559372	4.2182216847008345	2.516413899302318	0.7964270502066294	1.9887853847463934	28.378810228673444	0.07411754108315192	2.3209215179437446	9.0	3.05	3.356914246650387	0.3282763536405711	0.4270259359086115	0.8	1.9287051570675564	50.0	328.6747456953833	30.480487346601915	0.0005049338508991354	3.298548616018542
36	1e-07	0.8384859553778095	473.56629007755924	7.508277512012427	4.038003466796517	2.9531037900015944	4.6936253768055485	2.7486665831491117	0.7943551272803641	1.8526282444286308	28.24698184437798	0.0765590671756455	2.45724425180199	9.0	3.05	3.140213075100325	0.2916381139692555	0.42361244181097185	0.8	1.8957205169599436	50.0	322.04396248928526	30.39974638474836	0.0005481350518341679	3.5657313553406933
37	1e-07	0.7947506958219402	515.8053285663121	9.929245977106365	4.068149076614024	2.9516567148278945	5.2826388492239	2.0037007088102685	0.6175965153522475	1.5781519693263562	26.87436470120231	0.08035101945886416	2.370219230202482	9.0	3.05	3.6641849202253653	0.3175589426944063	0.4438934012809288	0.8	1.9307088118346887	50.0	326.8071695613201	30.394545241744165	0.0005415681977812563	3.3747382911054413
38	1e-07	1.751326162497017	326.01184468022427	8.809712880803275	4.321708388318361	2.8677535674164396	4.160264149751413	3.0510159259151983	0.8537688686806473	2.126584964109253	28.82621512381626	0.06895559114135213	2.64968031088116	9.0	3.05	3.189159651624483	0.3090161335524554	0.40949551328853917	0.8	1.8913193233061034	50.0	317.7412220152094	30.512934353265017	0.0005253517246994452	3.9075513516926215
39	1e-07	0.8251357295138316	481.7256020784054	13.880178421621794	4.23866243197815	2.944669005443614	3.587755243225307	2.4312945678421762	0.8467714996208349	2.325983785958211	28.96292177656764	0.07554076181824246	2.7047811438223985	9.0	3.05	3.1177083650995776	0.3233770772392805	0.4327769381224095	0.8	1.9209251151946969	50.0	322.82872035202956	30.454741321491046	0.00044816901090286796	3.5771574261692978
40	1e-07	0.9527331005112564	454.1752675569379	10.496177298501179	3.9943602597626326	2.9540817136474633	4.337561902084448	2.56295511745024	0.8335053071754074	2.622045565053707	27.803306842811217	0.075981468764752	2.4665336742180908	9.0	3.05	3.429019646314717	0.3259556987010276	0.41913833653314625	0.8	1.8569061281670975	50.0	314.7551503308111	30.466121225414163	0.0005100948048292199	3.3940212867586403
41	1e-07	1.009161333266853	445.0913394222983	10.284853560631651	3.9934152626819754	2.9757380302881713	3.7653002546679395	2.833328295551182	0.7132601039079689	2.0893381176047137	28.80241910544982	0.07481512550287064	2.4471298145818134	9.0	3.05	3.0760896489004845	0.3084735558373747	0.4410096646619592	0.8	1.8502958301424757	50.0	326.2943252163146	30.429718960925932	0.0004994444916721865	3.1875950838987883
42	1e-07	0.8962422664907689	453.6620057095402	9.039494674665654	4.306747256172812	3.0227443918135783	4.534309176095829	2.928666958374401	0.7864182139372649	2.2402364546261886	29.00042069536363	0.07554807091143051	2.606728975773129	9.0	3.05	3.5167192548763984	0.3071423020122564	0.39835796491573877	0.8	2.0098945857948043	50.0	321.33312212644086	30.492351037056924	0.0005508105182310945	3.9718407356351824
43	1e-07	0.8909186720052436	452.08270074136647	5.358011836796232	4.245226202497186	3.0694619154705194	3.9211119415021316	2.7220522681711086	0.7499419245532435	1.929192141337802	28.46705089497247	0.07564772579126954	2.2138759610336023	9.0	3.05	3.260883008059272	0.32044489634251705	0.4362430540444421	0.8	1.8773999144899707	50.0	321.3670461002935	30.447958814942137	0.00048311960638670507	3.286018865013889
44	1e-07	1.094770766754778	419.3415125040746	11.830263735584051	4.119672514711022	3.0007047709904677	2.936438676356605	2.867942692529628	0.7225086923038215	2.268112382451214	29.353238915775115	0.07631474458826089	2.776615994485115	9.0	3.05	3.2485595055373686	0.29827339547233295	0.4611406513710714	0.8	1.8374158958684155	50.0	320.1206295205447	30.336178493229593	0.0004476250926354433	3.549747596793173
45	1e-07	1.2793121772913958	400.0329657337114	9.04728470419786	4.532645556765102	2.8786133448669595	4.309612510328595	2.974326038051497	0.8538843249486827	2.7639023831192606	27.152811743829332	0.0770990678909496	2.753375527241515	9.0	3.05	3.550354620820399	0.2843462058694482	0.4492915293640582	0.8	1.714726119996478	50.0	310.63019722976713	30.300191705252008	0.0005612777722821701	3.671245761285216
46	1e-07	1.4463169275996877	369.6798756746972	8.022291266596588	4.48814000257998	2.84094491171354	4.5787794216781865	2.1379107351481244	0.6028236832019664	2.043979361456205	27.628583596785997	0.08108848458741491	2.331751475996307	9.0	3.05	3.304165713752517	0.30459776385191034	0.4574009171248262	0.8	1.9356459115103481	50.0	327.11000780460927	30.329409854415683	0.0004795225891161396	3.5550922774978644
47	1e-07	0.8893029428219035	452.65787469890034	12.486888972294322	4.002432451511755	2.9546763831494003	4.472511945476766	3.165722287195922	0.8244307601577731	1.563218288992966	29.350668550947848	0.07482133624567093	2.3755996974649505	9.0	3.05	3.1883841393232135	0.2923537251879414	0.40175545520084166	0.8	2.0288303302053827	50.0	323.4099492275207	30.459990304881877	0.0005361563456526001	3.8342168526832903
