	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
10	1e-07	0.9158713082930113	445.72072094530597	9.902305717157128	2.5696796049864736	3.110925149237199	4.36270892026738	2.5197610379757354	0.8278197408067106	2.476239529888856	28.284892947633967	0.08149384059487598	2.443112352952993	9.0	3.05	3.020815027437803	0.2888759227305162	0.4358575009699878	0.81	2.0591681299511624	50.0	321.1035677180955	30.34085362190422	0.0005379232783812268	4.152233063213296
11	1e-07	1.0957318856993807	408.62719560362393	6.371315183432525	2.5671331559106827	2.9794478596548664	4.607404952119268	2.4400874622547186	0.8685166169981429	2.4716014317031547	27.31141343173951	0.07468103642369527	2.552454435823106	9.0	3.05	3.5306023043325947	0.2887111585604958	0.45669071303743847	0.81	2.0781159382076897	50.0	318.34041935295244	30.44469284657064	0.000568884133541025	4.0469257549747155
12	1e-07	0.7139355869750184	492.350190928805	12.334317787285526	2.7960868410656134	3.0214282270364654	3.7087378423341937	2.450001427864682	0.884364201914737	2.463326470838288	28.55409874408461	0.08055449302077977	2.499513640254734	9.0	3.05	3.39268517872007	0.28466034849649763	0.45772842701426103	0.81	2.0910933919629793	50.0	313.61286429141524	30.35249795553488	0.00046873125584347527	3.728057528714049
13	1e-07	0.6835512738238725	506.87178236092376	8.235303877216454	2.8883147968885363	3.1784178504109777	4.00629063121645	2.523182040275642	0.7712856491893954	2.4154017050741454	28.55893510095092	0.07773313516597324	2.5656731019414387	9.0	3.05	3.1431701841971735	0.28324036439756506	0.45491769825411305	0.81	2.0829601609731223	50.0	320.0658690795059	30.395291208275726	0.0005318777723127443	3.4681719367402852
14	1e-07	0.8153854702143956	470.07326164957306	12.078367183333254	2.6824738556861143	2.948341536785378	3.48237337696301	2.5380057964649985	0.8955523431292212	2.4447243859436805	29.01363090887378	0.08087210302939143	2.6523409521834003	9.0	3.05	3.241723629070867	0.29403890193142296	0.457404359471529	0.81	2.157763961914427	50.0	325.5495416659722	30.365206281295034	0.0004978575586359603	4.1345234803835735
15	1e-07	0.7240794984526742	481.3033296350026	14.579749103273517	2.6685633248439347	2.972688033718477	3.782955343493278	2.552742752176792	0.8665451012467973	2.4833463079475537	28.013100414375177	0.07975400118990712	2.4802795878698856	9.0	3.05	3.7750347993930893	0.28653640244480405	0.4768378394276252	0.81	2.1790125571066485	50.0	304.19518475847525	30.302761989435503	0.0005260196894982997	4.020832705407088
16	1e-07	0.9077862723427201	443.57129662009737	11.485251595718548	2.6690591782321946	2.920989288981933	3.822123827998185	2.445691926391499	0.7790689852715009	2.360829834693661	28.733949195864415	0.07877908285548524	2.587965692939125	9.0	3.05	3.137073286495676	0.2858212120741847	0.45731431898069724	0.81	2.08371699703064	50.0	320.50063676922184	30.394168990308213	0.0005145537868968516	4.088951404343937
17	1e-07	1.2795097916272726	373.96811929914554	7.421555263543342	2.702292141094437	2.9081731453544015	3.936204602721926	2.497957295670076	0.8468737405866655	2.4323613994908726	28.026307577433105	0.08135682685508236	2.4471526334477804	9.0	3.05	3.5719224857454055	0.2982474885908069	0.4625475871652698	0.81	2.0731321024963485	50.0	318.5417421199782	30.361223222743785	0.00047320353332519965	3.5326294698446974
18	1e-07	1.119568278712973	393.63396047998924	8.407842134234077	2.6867560181510104	2.8685626982365666	3.8933528455174575	2.4377206364342907	0.8281706566224568	2.411536896761329	28.33195527781613	0.08178598192616894	2.519768783512626	9.0	3.05	3.7375494187164815	0.2949363991905464	0.45572349299303383	0.81	2.1262193452507208	50.0	315.9770734516946	30.32930571452244	0.0004704304423410229	3.4647298954782046
19	1e-07	0.9217550338766526	452.63762691525164	5.661879143239609	2.6705914823242742	3.050465670070273	4.46030047782192	2.5780789213302158	0.7470898211796344	2.5103384328231035	27.48595222055226	0.07822868982353268	2.629891577221095	9.0	3.05	3.401968476988237	0.27956822589966634	0.46133297841761245	0.81	1.978624910104327	50.0	321.12274106243467	30.351675231167786	0.0004688703292344041	3.84337989523128
