# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
q	I_data	I_err	I_fit
0.0234571	31466.5	305.477	31364.183300774668
0.0239824	30350.5	294.501	29959.602197987813
0.0245078	28970.7	296.218	28647.691026651453
0.0250331	27981.1	289.59	27421.216599548825
0.0255585	26857.9	275.056	26272.779323135303
0.0260838	25374.1	278.238	25196.587846780712
0.0266092	24204.0	263.117	24186.619790922312
0.0271345	23636.1	267.64	23238.192624967785
0.0276599	23423.4	255.004	22346.35828830762
0.0281852	21626.9	249.974	21507.297106533893
0.0287106	20741.3	252.964	20716.908756050703
0.0292359	19626.1	242.597	19972.05218985914
0.0297613	19159.8	241.993	19269.303022138723
0.0302866	18930.8	234.735	18606.059087189027
0.030812	17610.9	228.492	17979.44007223336
0.0313373	17389.0	229.091	17387.275466722975
0.0318627	15995.7	220.172	16827.12668691183
0.032388	16323.3	222.727	16297.171742193726
0.0329134	15272.0	211.408	15795.333536648344
0.0334387	14945.1	211.709	15320.073527813487
0.0339641	14207.0	209.418	14869.612609369355
0.0344894	13826.8	203.845	14442.644309467565
0.0350148	13633.0	206.546	14037.636832263437
0.0355401	13030.4	201.65	13653.474886463782
0.0360655	12540.4	200.461	13288.833219184804
0.0365908	12420.7	194.981	12942.75493626089
0.0371162	12044.1	191.854	12614.088293439945
0.0376415	11673.1	191.85	12302.008330482502
0.0381669	11382.6	187.927	12005.509861640485
0.0386922	11108.6	188.355	11723.878364099213
0.0392176	10742.9	182.35	11456.233084594318
0.0397429	10687.3	183.873	11201.952373093804
0.0402683	10297.1	180.578	10960.261635493996
0.0407936	9921.14	178.633	10730.617663921195
0.041319	10226.3	179.927	10512.336847808016
0.0418443	9710.64	173.799	10304.94250490392
0.0423697	9516.88	175.229	10107.829338971687
0.042895	9180.5	171.247	9920.577305738478
0.0434204	8935.22	169.255	9742.648794141898
0.0439457	8994.89	169.05	9573.67215679195
0.0444711	8547.07	165.34	9413.168508393715
0.0449964	8714.2	169.564	9260.807700686759
0.0455218	8708.27	162.442	9116.16198861146
0.0460471	8511.33	164.834	8978.936926725602
0.0465725	8042.26	162.297	8848.749460746438
0.0470978	7940.27	160.446	8725.33595910228
0.0476232	7913.53	161.703	8608.35255270723
0.0481485	7836.54	155.319	8497.562285733567
0.0486739	7839.55	158.568	8392.655756434344
0.0491992	7603.53	155.837	8293.419170516054
0.0497246	7746.56	155.337	8199.573535924237
0.0502499	7727.69	155.556	8110.925226236126
0.0507753	7519.79	152.196	8027.222157039419
0.0513006	7271.64	154.016	7948.28831208056
0.051826	7551.64	152.163	7873.895481915586
0.0523513	7006.25	150.362	7803.883069208493
0.0528767	7101.67	149.968	7738.044104821035
0.053402	7175.71	147.087	7676.231528171311
0.0539274	7223.18	151.202	7618.257314461705
0.0544527	7138.52	145.525	7563.986319267509
0.0549781	7140.15	147.097	7513.247455372874
0.0555034	7251.01	147.302	7465.916095961595
0.0560288	7066.76	143.87	7421.83633239569
0.0565541	7255.55	145.27	7380.892845985528
0.0570795	7236.47	143.298	7342.943360579127
0.0576049	7038.85	143.691	7307.874409462822
0.0581302	6824.68	141.997	7275.575210743891
0.0586556	7153.86	142.699	7245.9214331505245
0.0591809	7183.65	141.464	7218.816740418236
0.0597063	7003.52	139.724	7194.147318028058
0.0602316	7142.44	141.203	7171.823032509893
0.060757	7125.84	140.42	7151.739581565171
0.0612823	7145.1	138.983	7133.8123911880975
