	Norm	nv	Rv	Z	x	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
10	0.01	2.256252842186682	383.3326330964521	5.1	0.4552152819446175	2.6355283830176304	2.9716999782975417	3.939553561983491	2.1406226674622055	0.7783325435520432	2.1116859657509104	28.288696201662756	0.16326782083904576	2.5094983188293827	9.0	3.05	3.309653997837904	0.28718361828110367	0.45795014145677343	0.81	2.1200178188780483	37.0	323.7557274121081	28.4870511002758	184.04265507359494	13.503354215416932
11	0.01	2.306688085254374	379.2371670047566	5.1	0.46708585645431916	2.637261702843426	3.018893203335598	3.359858305705384	2.8010753843037106	0.8667333106434149	2.3724150732185407	28.86569704584309	0.10189259378634312	2.5201405822942906	9.0	3.05	3.085935712512368	0.2879724478663869	0.4612293147476182	0.81	2.06181296705157	37.0	322.67325614002874	28.484982420521046	174.63163294359967	12.080184742201096
12	0.01	2.062416827232017	413.8692736627463	5.1	0.4388614602584458	2.6780149741317363	2.993940543487898	3.7692486188740157	2.429853761047566	0.7445036090441373	2.174201750084202	28.602483210060846	0.1442867852665395	2.446900625547068	9.0	3.05	3.456412205545104	0.28717917955580685	0.4466736062904185	0.81	2.073962319818263	37.0	331.84848790500183	28.419568237257398	182.2914697969034	15.453905119809775
13	0.01	2.2140290978554353	404.6443233207116	5.1	0.4389671038219034	2.715364880108556	2.995775920458749	4.191470389048239	2.4244615754023404	0.8514114846094321	2.2447134394675707	27.79390109497985	0.15503242385437704	2.4594672147293526	9.0	3.05	3.2156000249083743	0.28804088407972306	0.45081728819659833	0.81	2.037887441270835	37.0	325.98080753839895	28.61110290342661	181.05208961358184	17.740524441193898
14	0.01	2.3685059346627404	382.32849052565615	5.1	0.45498563320065155	2.6598987531008254	3.0092857696891064	3.9841206267740223	2.5571127465515597	0.7499349466219744	2.387902693632293	28.151905747201052	0.14379000779274023	2.5011196558277944	9.0	3.05	3.418805818296713	0.29453257347221445	0.4405888969665757	0.81	2.0944573423715007	37.0	326.43142163989177	28.679277189816986	180.55950623694076	14.642713428518022
15	0.01	2.2160905285612555	391.802664495193	5.1	0.4463368592207004	2.695502354175072	2.9732842881335193	4.288307687936605	2.2213413447973216	0.7908838241797705	2.191184717642233	27.832837009854106	0.16382467407396872	2.514999479103057	9.0	3.05	3.5963721134125635	0.29194774688923875	0.44551308114713273	0.81	2.0890037206065353	37.0	320.64019058390085	28.49131799810689	175.8459565629012	12.069055845267819
16	0.01	2.2713316697517323	376.4725770463544	5.1	0.4579144409224606	2.7032511509468837	3.023002388034718	4.234594290867231	2.474382456069552	0.8094899359711653	1.9783822257430785	28.457429320788094	0.14723083947181295	2.5177140506420406	9.0	3.05	3.3864439072948054	0.28781083988243844	0.4423502069687847	0.81	2.087053606828301	37.0	327.2141143952805	28.47548592722927	182.92857916769736	11.243399415396691
17	0.01	2.376401872204548	381.24224244878934	5.1	0.4573177557162043	2.7446009237170044	2.9867904796373517	4.247700121678622	2.1501605653392186	0.8082835916451022	2.203088802616123	28.092409325579087	0.14011054164029507	2.462970423734207	9.0	3.05	3.257277030097153	0.2881010856581752	0.45510200358990677	0.81	2.0856313650179086	37.0	327.11231410828896	28.717040838705657	178.02002436374752	14.2773135050086
18	0.01	2.377588320076004	378.8138701138671	5.1	0.4680537766280795	2.7378922964513364	3.0214702065409154	4.13043489001803	2.1830510469731257	0.7795467593194241	1.940644770385348	27.579248766918756	0.13489348413626345	2.537285298953686	9.0	3.05	3.6133979807897356	0.28922363669611423	0.4466806180425165	0.81	2.0850143720251766	37.0	316.28002861173394	28.678215985807892	179.01105008936938	11.180628413348453
19	0.01	2.545179659939831	378.1132994138428	5.1	0.4383661131697387	2.7423497816408657	2.988410242713389	4.029004355444278	2.628973704080742	0.7545154422613585	1.820337153281543	27.720741958299495	0.14718316372312104	2.5194658218683914	9.0	3.05	3.597666428855766	0.2933950997543298	0.44067333542627096	0.81	2.051692392001432	37.0	323.9611040572001	28.594739617979936	175.1918830411387	12.08954315692781
