# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	x_p	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
45	0.01	2.0704882414200636	404.4633216151197	5.1	0.46007203893962195	2.7732880965840057	2.9536109383020976	3.9033865998021486	1.5111366670601891	0.8519517391070156	2.5717910035904534	28.225187068609856	0.13366536886484	2.480616731152867	9.0	3.05	3.362443137549703	0.29234087342418486	0.4501210998142335	0.81	2.1104062805187045	37.0	329.2783719437583	28.558041891263557	185.2953321271854	3.418013375467033
46	0.01	2.2866407710516787	401.4295639031493	5.1	0.4570743126763467	2.75864194108128	3.0407884057669037	4.250177773209687	2.1599199888572795	0.8302945750124558	1.8386318128419408	26.968497939727108	0.12295538836704048	2.540333940311388	9.0	3.05	3.750315952262441	0.2881619260364039	0.45538520494325396	0.81	2.0434218963862345	37.0	322.65867401153577	28.64124546699227	169.8278840475409	3.6704074144708376
47	0.01	2.3935045190731827	390.71153015518337	5.1	0.44561586183341323	2.719911061620528	3.0715672844604143	4.2074595459504645	2.2359691489268028	0.8992806802031382	1.8322422847453417	27.3376012174019	0.11823665711739006	2.5296871934563367	9.0	3.05	3.1713320400239873	0.2901731560940071	0.4565308885874517	0.81	2.0868889370541948	37.0	332.92198807009953	28.593465541031414	198.13545496800808	3.0986007555736945
48	0.01	2.3839331242241104	381.17398142667207	5.1	0.4760024669915593	2.7618301185543546	3.030393326625775	4.20117413298952	2.5093452367603137	0.7916184885372946	2.742645996834082	27.341109126826677	0.13936563695775056	2.5585523421743868	9.0	3.05	3.7296954329967336	0.2863763459996833	0.4443269753247545	0.81	2.1241151409107344	37.0	313.47523540900477	28.847634811000503	187.89951834449286	4.36695039018293
49	0.01	2.374781264324243	372.68208196754716	5.1	0.4789964094012119	2.5831686709489254	2.984406773041309	4.357226381268382	1.8963775251776058	0.8257399700294619	2.0154026216235503	27.517265483512205	0.14207610086264413	2.4763671960673794	9.0	3.05	3.9871396105789625	0.2980221200260743	0.4486260805077648	0.81	2.148332146843225	37.0	316.06884744050626	28.727414107209647	184.81048906747665	3.4310859144413803
50	0.01	2.2506437465198816	404.1577964022499	5.1	0.4531947941486927	2.746089837501084	3.01011965516953	4.763095843802841	2.749664901112889	0.9005732684254448	2.3909070525712997	26.66886757403712	0.13531525630154145	2.4485855556893044	9.0	3.05	3.392128681582217	0.2809713440387677	0.43126550947267334	0.81	2.0764250162752855	37.0	320.2188841833297	28.702635236568728	204.5670409961449	3.5448400525493806
51	0.01	2.134872821933228	377.80661173129147	5.1	0.5025666095822946	2.6641918880176547	3.0509502579632257	4.473958207499356	1.775538259139226	0.8553235535191754	1.5485653923452516	27.78981191228913	0.13618129323448483	2.488803427050463	9.0	3.05	3.312393526413187	0.2969838389828002	0.44169762230206333	0.81	2.2818600728193412	37.0	313.975800161845	28.716256444541674	190.7822035623797	2.9589150052118685
52	0.01	2.367012485510816	390.34832234396725	5.1	0.4440791148266101	2.753382721821404	2.9713198647028314	4.034629700485428	2.1701444299523414	0.9673791695787347	1.969411631842401	27.2584756269204	0.15160112512863996	2.494342479163121	9.0	3.05	3.4227119202398497	0.2918486337393911	0.4519776066567925	0.81	2.067046248973446	37.0	324.6129117940553	28.59743923736473	194.68657127785977	4.026877458747144
53	0.01	2.645517536135981	371.5806735061837	5.1	0.43840109974535835	2.6161553209541903	2.979699734468765	4.47738867690843	2.595222268103169	0.7109118376102669	2.049280016776811	27.00131136234831	0.13914396940338	2.44593312613665	9.0	3.05	3.373139063503513	0.2868937436545873	0.4505331080071329	0.81	2.097803160141618	37.0	322.1507101903187	28.505858950214613	181.18292350104747	3.2434385162905053
54	0.01	2.2239580075026626	401.96663633876494	5.1	0.4554136199578562	2.678130363261109	2.9044978241614507	3.9054310242106767	3.263040778344732	0.8218019849996453	2.5187484477554687	27.61778143315477	0.11832889880151355	2.537498136894856	9.0	3.05	3.0760457024984085	0.2908600147996227	0.45971198827179727	0.81	2.0979007496758246	37.0	325.8597765986457	28.585541580745428	189.6807019999683	4.153108847704409
55	0.01	2.2051332440488944	404.9427257532085	5.1	0.43478888824469386	2.7852811085754463	3.0971963377809955	3.7832840899827627	2.66364443179459	0.77482176042211	1.9880044318167343	27.651775028665714	0.13481960473585222	2.529260423505048	9.0	3.05	3.4137828849588847	0.2880127647985509	0.4505321316851408	0.81	2.0701197486934215	37.0	322.7390724420399	28.334589769909247	177.39753108502498	3.622833398847236
56	0.01	2.752666640454665	360.0100657081668	5.1	0.43127741313278956	2.704784416886117	2.9924596638079577	3.9421913146447443	2.029354803573348	0.8884421468746538	1.7788247539490918	27.880547755123693	0.1303585641353904	2.4724278965596613	9.0	3.05	3.310476598576355	0.29339947241336983	0.448806010195076	0.81	2.0970335314106783	37.0	332.6771668434623	28.397136190883508	181.11826332704942	2.8048388408806115
57	0.01	1.7975780832425028	441.4428913637295	5.1	0.44943293717661437	2.6277318180198197	2.976869353853175	4.163678497184005	2.0973241199162724	0.8770728363063358	2.4391237666502676	27.855841736662345	0.13106606476456373	2.4593388893484733	9.0	3.05	2.8628535259513614	0.2794793771521017	0.4365016522010925	0.81	2.101032214361084	37.0	331.13382707808984	28.46522861878074	199.64318215049153	3.8910625099764817
