# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	T	V_H	V_BW	Con	X2
11	2e-07	1.7515438737687818	487.17099839583466	12.271727721755504	0.9991074901645414	3.0179564423399596	4.348951530618341	2.7840475976930845	0.7625869261345342	2.436897612027371	24.007768901252614	0.03462292577132626	2.581022150874934	2.171818633321973	0.2904044183764171	0.429043812138986	1.8824854467824401	50.0	342.35844653377075	30.717430108844624	0.0022254216590248156	20.88556748506313
12	2e-07	1.3300636717674452	496.4178880063092	12.671352215891275	1.0543174165024292	3.0197213714423086	4.044444415735961	2.7695455699354468	0.8807954437920644	2.374635698807273	24.029939197784564	0.03697420086515714	2.4957979401091306	1.9841508759047448	0.2854954725667031	0.4325493009979476	1.9354684053357933	50.0	318.54335594552634	30.349379394198536	0.002189200078653424	20.032420301809776
13	2e-07	1.4532742322751908	499.7985362586393	10.527907922555208	1.0334512054177516	3.0769752098037086	4.171682826529408	2.8091875562700963	0.9875880943534032	2.295089999924413	23.97046601898422	0.03458013384277857	2.5694092187667272	1.8981438534151014	0.28331372577002834	0.4222585367353925	1.8819420188879883	50.0	330.56035287329837	30.52340903408162	0.00225453590928836	20.173283404752382
14	2e-07	1.4395682290161775	490.72662255689136	9.773186050993	0.9592004268058891	3.0639929662058374	4.532508920379951	2.7764265651421796	0.6584730769538326	2.3827880152770002	23.399431884814938	0.03552166488721839	2.473098284700047	1.9997272629842961	0.28405423673921826	0.45099083145668545	1.948656077976195	50.0	322.39128766869396	30.321633478968455	0.0022559620848881163	21.781908867331417
15	2e-07	1.3550901476549897	499.46793577226504	12.981110021120697	0.979329344829062	3.2258628895116246	4.427488957610743	2.7997026638416362	0.8457827497390359	2.3218591643536453	23.371243324190395	0.031843398795778834	2.4646061069154386	1.9410379997496108	0.2859972752236412	0.4434454783163398	1.945004576383318	50.0	317.86317038521486	30.256520992013403	0.002312399693259768	18.22533990733909
16	2e-07	1.2678112330519646	498.8074387343426	13.093157679471323	0.9785456096463969	3.024397487280498	4.137226352566829	2.6676289546441487	0.7847348776103711	2.465075290161882	23.876883304045084	0.03431954182119335	2.443611976054206	1.9215487146803338	0.29964569052512735	0.4462186713365812	2.0140077226393776	50.0	316.3991464607022	30.281819628414528	0.0022433010594691775	19.647750032325746
17	2e-07	1.5372495032396005	474.75631341730036	9.052823491428994	0.8992115872540708	3.0070133471620775	4.069356983485206	2.9631337705137946	0.7777189259477089	2.367227774167545	24.386166540306515	0.022653282441979485	2.501470917201618	1.940184790201613	0.2752443746162182	0.42252289428901524	1.8778606423674031	50.0	327.1463818955686	30.45556361664951	0.002325253062561778	22.095090386584076
18	2e-07	1.2669215911743497	485.5973505335398	11.695172477990413	1.0326818883720918	3.060532987650362	3.6132335186071907	2.862571682071592	0.8369137404615202	2.4586584217743597	25.022166991576505	0.02793104885633239	2.4756178762040886	1.944796801419855	0.3017695813842436	0.42004410825775224	2.068495665906591	50.0	320.15214330077464	30.39354548346426	0.002268501014325969	21.312100055052788
19	2e-07	1.3060401640458783	489.4978882638925	10.469390172563758	1.0126682006879604	2.9727754901869625	4.0846335859783425	2.819512648279203	0.7569700198003353	2.415503030299345	24.159027291328385	0.022409564034383368	2.3849234997478312	1.8681269185824085	0.28089441520385444	0.44377893496713056	2.03084215580957	50.0	319.9315695877276	30.251601892357733	0.002329794582309047	22.198442736873403
20	2e-07	1.589902444142265	487.68942978958427	8.33016504008797	1.0678493761927563	3.0942641135678066	4.041369303018899	2.8433125669994177	0.8480239976222009	2.4931293353617194	24.16122575482057	0.030198197219305604	2.5724246424214794	1.9445430812318234	0.3069878885696845	0.43779547813935427	1.9596550608938854	50.0	340.9109935395006	30.697185683986074	0.0023110957742793117	22.997606633567507
