# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Probabilities of finding a quasimolecular group at a position z (Angstrom) (distance from the bilayer center).
# SLD column: SLD contrast (difference from suspension medium) as a function of z; unit Angstrom^-2.
# -----------------------------------
z	CH3	CH2	CG	PCN	Chol	BW	SLD
3.517241542506266	0.1345628798705285	0.8651769209295261	0.0001531885536523414	2.1242934659612846e-06	1.6526730516287878e-06	0.00010323355244505462	-1.8432969322046985e-06
3.6177341580064453	0.12239241013309023	0.8773049625711562	0.00018071743185822398	2.519129810664695e-06	1.940910393144797e-06	0.00011744972568245374	-1.8025183885000545e-06
3.718226773506624	0.11102581253778646	0.8886227643694976	0.00021281367185931616	2.983535673394614e-06	2.2768611659934708e-06	0.00013334894852142735	-1.7643919661039723e-06
3.818719389006803	0.10044624198838124	0.8991463089931055	0.0002501639652051443	3.5290399633905845e-06	2.667965064172569e-06	0.00015108798998267667	-1.7288571838242294e-06
3.9192120045069823	0.09063244276300467	0.908895887755791	0.00029354570288461063	4.168948897068247e-06	3.1227430551005007e-06	0.00017083204110645447	-1.6958382945145633e-06
4.019704620007161	0.08155938406866411	0.9178954552079264	0.000343836874764409	4.918596772698576e-06	3.650941617882975e-06	0.0001927542747532288	-1.665246345703947e-06
4.12019723550734	0.0731988821490638	0.9261719965300167	0.0004020267234844402	5.795628282965348e-06	4.263694207619697e-06	0.00021703524659506427	-1.6369811908429751e-06
4.22068985100752	0.06552020081214639	0.9337549158618991	0.0004692271601849153	6.820315726542088e-06	4.973701704116459e-06	0.00024386212502834558	-1.610933423963433e-06
4.3211824665076985	0.05849062342889842	0.940675452522648	0.0005466849404283998	8.015914747018894e-06	5.795433740468363e-06	0.00027342773950386534	-1.586986214545424e-06
4.421675082007877	0.05207599066200849	0.9469661308769575	0.0006357945881520312	9.409062502414308e-06	6.745352948859518e-06	0.00030592943914139234	-1.5650170234655336e-06
4.522167697508056	0.046241199382323676	0.9526602484130632	0.0007381120433648992	1.1030222449073172e-05	7.84216430683921e-06	0.00034156775653829585	-1.5448991849610214e-06
4.622660313008235	0.04095065939630693	0.9577914054415879	0.0008553689955356498	1.2914180207484132e-05	9.10709191636817e-06	0.0003805448754409616	-1.526503343501168e-06
4.723152928508415	0.03616870571610092	0.9623930787267841	0.0009894878491600978	1.5100595261468026e-05	1.0564185698972347e-05	0.0004230629054792691	-1.5096987382319583e-06
4.823645544008594	0.03185996513642934	0.9664982403403918	0.0011425972508490366	1.763461352278572e-05	1.2240660642082069e-05	0.0004693219725032084	-1.494354331191094e-06
4.9241381595087725	0.027989676824490484	0.970139022098639	0.001317048088454549	2.05675460664243e-05	1.4167271382532986e-05	0.0005195181392323252	-1.4803397787271641e-06
